,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
71,Pamukoren Geothermal,Geothermal,Steam Turbine,PP,TR,32.0,,,0.0,0.0,0.0,2014.0,2014.0,2029.0,37.9167,28.5305,{nan},"{'GGTPT': {'G100000700227'}, 'GPD': {'WRI1018956', 'WRI1018966'}}",1658
82,Kizildere Geothermal,Geothermal,Steam Turbine,PP,TR,246.0,,,0.0,0.0,0.0,2013.0,2013.0,2028.0,37.949889167685264,28.84061009242978,"{nan, nan, nan}","{'GGTPT': {'G100000700131', 'G100000700132', 'G100000700130'}, 'GPD': {'WRI1018968', 'WRI1018955'}}",915
95,Dora Geothermal,Geothermal,Steam Turbine,PP,TR,34.0,,,0.0,0.0,0.0,2013.0,2013.0,2028.0,37.857,28.0716,{nan},"{'GGTPT': {'G100000700067'}, 'GPD': {'WRI1018960', 'WRI1018967'}}",1417
96,Alasehir Geothermal,Geothermal,Steam Turbine,PP,TR,75.0,,,0.0,0.0,0.0,2015.0,2015.0,2030.0,38.411199999999994,28.41015,"{nan, nan}","{'GGTPT': {'G100000700007', 'G100000700165'}, 'GPD': {'WRI1018958'}}",703
97,Ilisu,Hydro,Reservoir,PP,TR,1209.0,,,0.0,0.0,0.0,2020.0,2020.0,2120.0,37.5328,41.8434,{nan},"{'GHPT': {'G603665'}, 'GPD': {'WRI1018934'}}",1426
98,Deriner,Hydro,Reservoir,PP,TR,670.0,,,0.0,0.0,0.0,2013.0,2013.0,2113.0,41.1706,41.8696,{nan},"{'GHPT': {'G603649'}, 'GPD': {'WRI1018926'}}",643
99,Boyabat Kepez,Hydro,Reservoir,PP,TR,513.0,,,0.0,0.0,0.0,2012.0,2012.0,2112.0,41.3396,35.0016,{nan},"{'GHPT': {'G603639'}, 'GPD': {'WRI1018923'}}",1282
112,Icdas Biga,Lignite,Steam Turbine,PP,TR,405.0,,,0.0,0.0,0.0,2005.0,2005.0,2050.0,40.4438,27.13067,"{nan, nan, nan}","{'GCPT': {'G100000104823', 'G100000104822', 'G100000104824'}, 'GEO': {'GEO-43064'}}",1316
113,Ankara Bilenergi Chp Gas Turkey,OCGT,OCGT,CHP,TR,32.927395835216906,,,0.0,0.0,0.0,1995.0,1995.0,2035.0,39.87215,32.74479,"{nan, nan, nan}",{'GEO': {'GEO-43076'}},784
114,Camligoze Turkey,Hydro,Reservoir,PP,TR,31.59235668789809,,,0.0,0.0,0.0,1998.0,1998.0,2098.0,40.2288,38.0751,"{nan, nan}",{'GEO': {'GEO-43104'}},424
115,Cengiz Genghis Ccgt Turkey,CCGT,CCGT,PP,TR,219.56732943271692,,,0.0,0.0,0.0,2009.0,2009.0,2049.0,41.2395,36.4776,"{nan, nan, nan}",{'GEO': {'GEO-43113'}},600
116,Ciner Kazan Soda Ccgt Chp Turkey,CCGT,CCGT,CHP,TR,336.8974981066647,0.53,,0.0,0.0,0.0,2017.0,2017.0,2057.0,40.20366,32.6877,"{nan, nan}",{'GEO': {'GEO-45690'}},1374
117,Derbent Turkey,Hydro,Reservoir,PP,TR,57.55732484076433,,,0.0,0.0,0.0,1990.0,1990.0,2090.0,41.4634,35.8448,"{nan, nan, nan}",{'GEO': {'GEO-43089'}},942
118,Hamitabat Trakya Ccgt Turkey,Oil,Steam Turbine,PP,TR,1111.6025945331298,,,0.0,0.0,0.0,1985.0,2006.0,2046.0,41.4825,27.3366,"{nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan}",{'GEO': {'GEO-42975'}},42
119,Hereke Cement Ccgt Plan Turkey,CCGT,CCGT,PP,TR,107.80719939413271,,,0.0,0.0,0.0,2003.0,2003.0,2043.0,40.7847,29.606000000000005,"{nan, nan, nan}",{'GEO': {'GEO-43117'}},133
120,Hereke Cement Gas Plan Turkey,CCGT,CCGT,PP,TR,34.13894647480869,,,0.0,0.0,0.0,1999.0,1999.0,2039.0,40.7935,29.594,{nan},{'GEO': {'GEO-43116'}},133
121,Karacaoren Turkey,Hydro,Reservoir,PP,TR,46.40127388535032,,,0.0,0.0,0.0,1993.0,1993.0,2093.0,37.3066,30.8087,{nan},{'GEO': {'GEO-43110'}},628
122,Karacaoren Turkey,Hydro,Reservoir,PP,TR,31.59235668789809,,,0.0,0.0,0.0,1990.0,1990.0,2090.0,37.3689,30.83,"{nan, nan}",{'GEO': {'GEO-43109'}},872
123,Kayseri Ccgt Turkey,CCGT,CCGT,CHP,TR,169.34714238161678,,,0.0,0.0,0.0,2004.0,2004.0,2044.0,38.7273,35.3759,"{nan, nan, nan, nan}",{'GEO': {'GEO-43119'}},558
124,Kemalpasa Ccgt Turkey,CCGT,CCGT,PP,TR,106.8189667330198,0.17394449116904964,,0.0,0.0,0.0,2005.0,2005.0,2045.0,38.4558,27.374399999999998,"{nan, nan, nan}",{'GEO': {'GEO-43120'}},664
125,Kentsa Ccgt Turkey,CCGT,CCGT,PP,TR,107.80719939413271,,,0.0,0.0,0.0,1997.0,1997.0,2037.0,40.7684,29.989,"{nan, nan, nan}",{'GEO': {'GEO-43121'}},95
126,Manisa Ccge Turkey,CCGT,CCGT,PP,TR,104.0818822769082,,,0.0,0.0,0.0,2008.0,2008.0,2048.0,38.6171,27.3127,"{nan, nan}",{'GEO': {'GEO-43078'}},511
127,Marmara Ereglesi Uni Mar Ccgt Turkey,Oil,Steam Turbine,PP,TR,903.1771080581681,,,0.0,0.0,0.0,1999.0,1999.0,2039.0,41.00245,27.97635,"{nan, nan, nan, nan, nan, nan}","{'GEO': {'GEO-42976', 'GEO-43112'}}",59
128,Samsun Aksa Ccge Turkey,Oil,CCGT,PP,TR,120.88678215547786,,,0.0,0.0,0.0,2003.0,2003.0,2043.0,41.243,36.4774,"{nan, nan}",{'GEO': {'GEO-43115'}},600
129,Samsun Ccpp Turkey,CCGT,CCGT,PP,TR,389.9027044754466,0.59,,0.0,0.0,0.0,2013.0,2013.0,2053.0,41.1451,37.156,"{nan, nan}",{'GEO': {'GEO-46157'}},164
130,Seyhan Turkey,Hydro,Reservoir,PP,TR,58.2484076433121,,,0.0,0.0,0.0,1956.0,1956.0,2056.0,37.0369,35.3413,{nan},{'GEO': {'GEO-43103'}},728
131,Suat Ugurlu Turkey,Hydro,Reservoir,PP,TR,45.4140127388535,,,0.0,0.0,0.0,1982.0,1982.0,2082.0,41.075,36.67188,"{nan, nan}",{'GEO': {'GEO-43088'}},1090
132,Van Ccge Turkey,CCGT,CCGT,PP,TR,104.0818822769082,,,0.0,0.0,0.0,2008.0,2008.0,2048.0,38.57374,43.312,"{nan, nan}",{'GEO': {'GEO-43079'}},1496
134,Afsin Elbistan Termik Santrali,Hard Coal,,PP,TR,2795.0,,,0.0,0.0,0.0,2012.2,2012.2,2057.2,38.3537,36.981,{nan},{'GPD': {'WRI1018701'}},281
141,Aslantas Dam,Hydro,,PP,TR,638.0,,,0.0,0.0,0.0,2003.4705882352941,2003.4705882352941,2103.470588235294,40.93675,36.64919999999999,"{nan, nan}","{'GPD': {'WRI1018915', 'WRI1018932'}}",897
143,Bandirma Dogalgaz Santrali,CCGT,CCGT,PP,TR,931.0,,,0.0,0.0,0.0,2007.3225806451612,2007.3225806451612,2047.3225806451612,40.3786,27.9116,{nan},{'GPD': {'WRI1018755'}},764
148,Colakoglu Termik Santrali,Hard Coal,,PP,TR,190.0,,,0.0,0.0,0.0,2012.2,2012.2,2057.2,39.6289,29.4629,{nan},{'GPD': {'WRI1018722'}},73
152,Deniz,Geothermal,,PP,TR,24.0,,,0.0,0.0,0.0,2012.0,2012.0,2027.0,37.8592,27.6145,{nan},{'GPD': {'WRI1018962'}},293
154,Devecikonagi Dam,Hydro,,PP,TR,29.0,,,0.0,0.0,0.0,2003.4705882352941,2003.4705882352941,2103.470588235294,39.8756,28.5754,{nan},{'GPD': {'WRI1018927'}},1274
160,Gumuskoy,Geothermal,,PP,TR,13.0,,,0.0,0.0,0.0,2014.1,2014.1,2029.1,37.8534,27.4658,{nan},{'GPD': {'WRI1018969'}},1614
163,Icdas Biga Termik Santrali,Hard Coal,,PP,TR,1200.0,,,0.0,0.0,0.0,2012.2,2012.2,2057.2,40.0224,26.9777,{nan},{'GPD': {'WRI1018714'}},654
165,Izmit Ipekkagit Termik Santrali,CCGT,CCGT,PP,TR,16.0,,,0.0,0.0,0.0,2007.3225806451612,2007.3225806451612,2047.3225806451612,40.7882,30.026,{nan},{'GPD': {'WRI1018813'}},95
