,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
612,612,459,154000,False,substation,False,transmission,0.0,30.7931,38.013,TR,POINT (30.7931 38.013),True
613,613,460,154000,False,substation,False,transmission,0.0,30.1169,39.0727,TR,POINT (30.1169 39.0727),True
614,614,461,154000,False,substation,False,transmission,0.0,30.9932,38.7004,TR,POINT (30.9932 38.7004),True
615,615,462,154000,False,substation,False,transmission,0.0,32.4627,39.7485,TR,POINT (32.4627 39.7485),True
616,616,463,154000,False,substation,False,transmission,0.0,31.5347,40.2356,TR,POINT (31.5347 40.2356),True
617,617,464,154000,False,substation,False,transmission,0.0,30.2952,38.6043,TR,POINT (30.2952 38.6043),True
618,618,465,154000,False,substation,False,transmission,0.0,27.9181,41.0445,TR,POINT (27.9181 41.0445),True
619,619,466,380000,False,substation,False,transmission,0.0,29.6772,38.3093,TR,POINT (29.6772 38.3093),True
620,620,467,380000,False,substation,False,transmission,0.0,29.4505,38.1068,TR,POINT (29.4505 38.1068),True
621,621,468,154000,False,substation,False,transmission,0.0,37.5502,37.9629,TR,POINT (37.5502 37.9629),True
622,622,469,154000,False,substation,False,transmission,0.0,37.6535,37.7778,TR,POINT (37.6535 37.7778),True
623,623,470,154000,False,substation,False,transmission,0.0,29.5261,38.7088,TR,POINT (29.5261 38.7088),True
624,624,471,154000,False,substation,False,transmission,0.0,29.4121,38.648,TR,POINT (29.4121 38.648),True
625,625,472,380000,False,substation,False,transmission,0.0,30.396,38.8999,TR,POINT (30.396 38.8999),True
626,626,473,154000,False,substation,False,transmission,0.0,30.807,36.9524,TR,POINT (30.807 36.9524),True
627,627,473,380000,False,substation,False,transmission,0.0,30.808,36.9534,TR,POINT (30.808 36.9534),False
628,628,474,154000,False,substation,False,transmission,0.0,30.7973,37.2641,TR,POINT (30.7973 37.2641),True
629,629,475,154000,False,substation,False,transmission,0.0,31.3193,36.8714,TR,POINT (31.3193 36.8714),True
630,630,476,380000,False,substation,False,transmission,0.0,29.915,37.4488,TR,POINT (29.915 37.4488),True
631,631,477,154000,False,substation,False,transmission,0.0,31.6271,38.195,TR,POINT (31.6271 38.195),True
632,632,478,380000,False,substation,False,transmission,0.0,31.0427,40.8788,TR,POINT (31.0427 40.8788),True
633,633,479,154000,False,substation,False,transmission,0.0,31.1373,40.9192,TR,POINT (31.1373 40.9192),True
634,634,479,380000,False,substation,False,transmission,0.0,31.1383,40.9202,TR,POINT (31.1383 40.9202),False
635,635,480,380000,False,substation,False,transmission,0.0,31.411,41.0286,TR,POINT (31.411 41.0286),True
636,636,481,154000,False,substation,False,transmission,0.0,39.4704,38.9707,TR,POINT (39.4704 38.9707),True
637,637,482,154000,False,substation,False,transmission,0.0,39.2665,38.6338,TR,POINT (39.2665 38.6338),True
638,638,483,154000,False,substation,False,transmission,0.0,39.4652,38.6951,TR,POINT (39.4652 38.6951),True
639,639,484,154000,False,substation,False,transmission,0.0,39.7761,38.6594,TR,POINT (39.7761 38.6594),True
640,640,485,154000,False,substation,False,transmission,0.0,40.7503,39.9473,TR,POINT (40.7503 39.9473),True
641,641,486,154000,False,substation,False,transmission,0.0,41.107,39.9289,TR,POINT (41.107 39.9289),True
642,642,486,380000,False,substation,False,transmission,0.0,41.108,39.9299,TR,POINT (41.108 39.9299),False
643,643,487,154000,False,substation,False,transmission,0.0,41.8584,41.1916,TR,POINT (41.8584 41.1916),True
644,644,487,380000,False,substation,False,transmission,0.0,41.8594,41.1926,TR,POINT (41.8594 41.1926),False
645,645,488,154000,False,substation,False,transmission,0.0,41.6823,41.3495,TR,POINT (41.6823 41.3495),True
646,646,488,380000,False,substation,False,transmission,0.0,41.6833,41.3505,TR,POINT (41.6833 41.3505),False
647,647,489,154000,False,substation,False,transmission,0.0,37.2195,36.7236,TR,POINT (37.2195 36.7236),True
648,648,490,380000,False,substation,False,transmission,0.0,27.7528,40.2521,TR,POINT (27.7528 40.2521),True
649,649,491,154000,False,substation,False,transmission,0.0,27.835,40.2589,TR,POINT (27.835 40.2589),True
650,650,492,154000,False,substation,False,transmission,0.0,27.8868,40.2558,TR,POINT (27.8868 40.2558),True
651,651,493,154000,False,substation,False,transmission,0.0,27.909,39.6985,TR,POINT (27.909 39.6985),True
652,652,494,154000,False,substation,False,transmission,0.0,27.9943,39.4942,TR,POINT (27.9943 39.4942),True
653,653,495,154000,False,substation,False,transmission,0.0,27.8798,39.2679,TR,POINT (27.8798 39.2679),True
654,654,496,154000,False,substation,False,transmission,0.0,26.9774,40.0196,TR,POINT (26.9774 40.0196),True
655,655,496,380000,False,substation,False,transmission,0.0,26.9784,40.0206,TR,POINT (26.9784 40.0206),False
656,656,497,154000,False,substation,False,transmission,0.0,27.3063,39.8895,TR,POINT (27.3063 39.8895),True
657,657,497,380000,False,substation,False,transmission,0.0,27.3073,39.8905,TR,POINT (27.3073 39.8905),False
658,658,498,154000,False,substation,False,transmission,0.0,27.1078,40.2605,TR,POINT (27.1078 40.2605),True
659,659,499,154000,False,substation,False,transmission,0.0,26.7353,39.9039,TR,POINT (26.7353 39.9039),True
660,660,500,154000,False,substation,False,transmission,0.0,28.9369,37.6349,TR,POINT (28.9369 37.6349),True
661,661,501,154000,False,substation,False,transmission,0.0,27.1004,38.5118,TR,POINT (27.1004 38.5118),True
662,662,501,380000,False,substation,False,transmission,0.0,27.1014,38.5128,TR,POINT (27.1014 38.5128),False
663,663,502,154000,False,substation,False,transmission,0.0,27.0353,38.499,TR,POINT (27.0353 38.499),True
664,664,503,154000,False,substation,False,transmission,0.0,27.3773,38.4702,TR,POINT (27.3773 38.4702),True
665,665,504,154000,False,substation,False,transmission,0.0,42.9401,39.2405,TR,POINT (42.9401 39.2405),True
666,666,505,154000,False,substation,False,transmission,0.0,43.0124,39.7375,TR,POINT (43.0124 39.7375),True
667,667,505,380000,False,substation,False,transmission,0.0,43.0134,39.7385,TR,POINT (43.0134 39.7385),False
668,668,506,154000,False,substation,False,transmission,0.0,44.0958,38.073,TR,POINT (44.0958 38.073),True
669,669,506,380000,False,substation,False,transmission,0.0,44.0968,38.074,TR,POINT (44.0968 38.074),False
670,670,507,154000,False,substation,False,transmission,0.0,35.0639,40.604,TR,POINT (35.0639 40.604),True
671,671,508,154000,False,substation,False,transmission,0.0,28.2222,36.8543,TR,POINT (28.2222 36.8543),True
672,672,509,154000,False,substation,False,transmission,0.0,27.682,36.7572,TR,POINT (27.682 36.7572),True
673,673,510,154000,False,substation,False,transmission,0.0,30.9495,36.9502,TR,POINT (30.9495 36.9502),True
674,674,511,380000,False,substation,False,transmission,0.0,33.929,37.5407,TR,POINT (33.929 37.5407),True
675,675,512,154000,False,substation,False,transmission,0.0,33.0078,37.3369,TR,POINT (33.0078 37.3369),True
676,676,513,154000,False,substation,False,transmission,0.0,33.5149,37.3097,TR,POINT (33.5149 37.3097),True
677,677,514,380000,False,substation,False,transmission,0.0,33.4288,39.146,TR,POINT (33.4288 39.146),True
678,678,515,380000,False,substation,False,transmission,0.0,33.9779,38.869,TR,POINT (33.9779 38.869),True
