,line_id,bus0,bus1,geometry
2438,transf_436_0,584,585,"LINESTRING (37.6946 38.7259, 37.6956 38.7269)"
2439,transf_442_0,591,592,"LINESTRING (40.6435 37.2524, 40.6445 37.2534)"
2440,transf_444_0,594,595,"LINESTRING (40.9217 37.898, 40.9227 37.899)"
2441,transf_449_0,600,601,"LINESTRING (36.4563 41.2292, 36.4573 41.2302)"
2442,transf_452_0,604,605,"LINESTRING (38.6363 40.8968, 38.6373 40.8978)"
2443,transf_473_0,626,627,"LINESTRING (30.807 36.9524, 30.808 36.9534)"
2444,transf_479_0,633,634,"LINESTRING (31.1373 40.9192, 31.1383 40.9202)"
2445,transf_486_0,641,642,"LINESTRING (41.107 39.9289, 41.108 39.9299)"
2446,transf_487_0,643,644,"LINESTRING (41.8584 41.1916, 41.8594 41.1926)"
2447,transf_488_0,645,646,"LINESTRING (41.6823 41.3495, 41.6833 41.3505)"
2448,transf_496_0,654,655,"LINESTRING (26.9774 40.0196, 26.9784 40.0206)"
2449,transf_497_0,656,657,"LINESTRING (27.3063 39.8895, 27.3073 39.8905)"
2450,transf_501_0,661,662,"LINESTRING (27.1004 38.5118, 27.1014 38.5128)"
2451,transf_505_0,666,667,"LINESTRING (43.0124 39.7375, 43.0134 39.7385)"
2452,transf_506_0,668,669,"LINESTRING (44.0958 38.073, 44.0968 38.074)"
2453,transf_533_0,696,697,"LINESTRING (28.4454 38.6046, 28.4464 38.6056)"
2454,transf_540_0,704,705,"LINESTRING (26.4589 38.2879, 26.4599 38.2889)"
2455,transf_541_0,706,707,"LINESTRING (33.5763 40.5877, 33.5773 40.5887)"
2456,transf_542_0,708,709,"LINESTRING (32.0964 41.3962, 32.0974 41.3972)"
2457,transf_546_0,713,714,"LINESTRING (30.6005 37.1226, 30.6015 37.1236)"
2458,transf_551_0,719,720,"LINESTRING (40.4171 40.9213, 40.4181 40.9223)"
2459,transf_554_0,723,724,"LINESTRING (36.1175 36.2148, 36.1185 36.2158)"
2460,transf_558_0,728,729,"LINESTRING (35.354 36.9978, 35.355 36.9988)"
2461,transf_606_0,777,778,"LINESTRING (27.1535 39.9694, 27.1545 39.9704)"
2462,transf_616_0,788,789,"LINESTRING (31.814 37.6071, 31.815 37.6081)"
2463,transf_618_0,791,792,"LINESTRING (39.8637 37.1567, 39.8647 37.1577)"
2464,transf_626_0,800,801,"LINESTRING (39.1496 38.2068, 39.1506 38.2078)"
2465,transf_629_0,804,805,"LINESTRING (38.9728 37.5709, 38.9738 37.5719)"
2466,transf_644_0,820,821,"LINESTRING (39.4158 38.6913, 39.4168 38.6923)"
2467,transf_645_0,822,823,"LINESTRING (40.0253 38.9863, 40.0263 38.9873)"
2468,transf_652_0,830,831,"LINESTRING (27.0289 38.8245, 27.0299 38.8255)"
2469,transf_657_0,836,837,"LINESTRING (26.9999 38.6167, 27.0009 38.6177)"
2470,transf_658_0,838,839,"LINESTRING (27.1812 38.1795, 27.1822 38.1805)"
2471,transf_666_0,847,848,"LINESTRING (35.6637 37.4702, 35.6647 37.4712)"
2472,transf_667_0,849,850,"LINESTRING (35.5079 37.1034, 35.5089 37.1044)"
2473,transf_671_0,854,855,"LINESTRING (32.2116 40.7784, 32.2126 40.7794)"
2474,transf_672_0,856,857,"LINESTRING (32.6251 40.863, 32.6261 40.864)"
2475,transf_673_0,858,859,"LINESTRING (31.5655 41.3206, 31.5665 41.3216)"
2476,transf_674_0,860,861,"LINESTRING (31.448 41.2249, 31.449 41.2259)"
2477,transf_677_0,864,865,"LINESTRING (30.8346 37.6039, 30.8356 37.6049)"
2478,transf_678_0,866,867,"LINESTRING (30.5059 37.8824, 30.5069 37.8834)"
2479,transf_687_0,876,877,"LINESTRING (37.5505 40.3287, 37.5515 40.3297)"
2480,transf_690_0,880,881,"LINESTRING (35.8854 40.9296, 35.8864 40.9306)"
2481,transf_692_0,883,884,"LINESTRING (35.874 41.036, 35.875 41.037)"
2482,transf_700_0,892,893,"LINESTRING (36.8113 40.5167, 36.8123 40.5177)"
2483,transf_733_0,926,927,"LINESTRING (34.0378 41.0134, 34.0388 41.0144)"
2484,transf_742_0,936,937,"LINESTRING (32.6371 41.1574, 32.6381 41.1584)"
2485,transf_749_0,944,945,"LINESTRING (35.8007 41.3854, 35.8017 41.3864)"
2486,transf_750_0,946,947,"LINESTRING (30.3345 40.8375, 30.3355 40.8385)"
2487,transf_757_0,954,955,"LINESTRING (28.98 39.9329, 28.981 39.9339)"
2488,transf_766_0,964,965,"LINESTRING (31.8948 41.5066, 31.8958 41.5076)"
2489,transf_766_1,965,966,"LINESTRING (31.8958 41.5076, 31.8968 41.5086)"
2490,transf_776_0,976,977,"LINESTRING (34.7103 36.8404, 34.7113 36.8414)"
2491,transf_808_0,1009,1010,"LINESTRING (38.4414 40.8842, 38.4424 40.8852)"
2492,transf_823_0,1025,1026,"LINESTRING (27.7583 37.8318, 27.7593 37.8328)"
2493,transf_861_0,1064,1065,"LINESTRING (40.7019 39.0065, 40.7029 39.0075)"
2494,transf_866_0,1070,1071,"LINESTRING (30.3316 40.6422, 30.3326 40.6432)"
2495,transf_867_0,1072,1073,"LINESTRING (30.1062 39.3735, 30.1072 39.3745)"
2496,transf_884_0,1090,1091,"LINESTRING (36.6726 41.0932, 36.6736 41.0942)"
2497,transf_885_0,1092,1093,"LINESTRING (38.859 40.9986, 38.86 40.9996)"
2498,transf_885_1,1093,1094,"LINESTRING (38.86 40.9996, 38.861 41.0006)"
2499,transf_887_0,1096,1097,"LINESTRING (33.4281 39.8921, 33.4291 39.8931)"
2500,transf_900_0,1110,1111,"LINESTRING (31.9955 37.4214, 31.9965 37.4224)"
2501,transf_911_0,1122,1123,"LINESTRING (28.5547 40.2797, 28.5557 40.2807)"
2502,transf_915_0,1127,1128,"LINESTRING (37.0218 37.4649, 37.0228 37.4659)"
2503,transf_943_0,1156,1157,"LINESTRING (38.1809 40.9262, 38.1819 40.9272)"
2504,transf_945_0,1159,1160,"LINESTRING (37.8565 40.9167, 37.8575 40.9177)"
2505,transf_946_0,1161,1162,"LINESTRING (37.2785 40.4041, 37.2795 40.4051)"
2506,transf_949_0,1165,1166,"LINESTRING (42.2486 38.5134, 42.2496 38.5144)"
2507,transf_952_0,1169,1170,"LINESTRING (33.8429 40.5521, 33.8439 40.5531)"
2508,transf_996_0,1214,1215,"LINESTRING (34.0382 40.5505, 34.0392 40.5515)"
2509,transf_1024_0,1243,1244,"LINESTRING (40.7464 41.0702, 40.7474 41.0712)"
2510,transf_1074_0,1294,1295,"LINESTRING (41.0257 40.501, 41.0267 40.502)"
2511,transf_1076_0,1297,1298,"LINESTRING (41.9326 41.1472, 41.9336 41.1482)"
2512,transf_1089_0,1311,1312,"LINESTRING (41.9517 37.9719, 41.9527 37.9729)"
2513,transf_1093_0,1316,1317,"LINESTRING (27.1314 40.4433, 27.1324 40.4443)"
2514,transf_1109_0,1333,1334,"LINESTRING (27.831 37.7573, 27.832 37.7583)"
2515,transf_1127_0,1352,1353,"LINESTRING (31.787 37.0363, 31.788 37.0373)"
2516,transf_1130_0,1356,1357,"LINESTRING (27.4037 40.9805, 27.4047 40.9815)"
2517,transf_1136_0,1363,1364,"LINESTRING (34.7065 36.9128, 34.7075 36.9138)"
2518,transf_1159_0,1387,1388,"LINESTRING (34.7559 37.2868, 34.7569 37.2878)"
2519,transf_1168_0,1397,1398,"LINESTRING (32.382 41.706, 32.383 41.707)"
2520,transf_1190_0,1420,1421,"LINESTRING (38.4964 39.4517, 38.4974 39.4527)"
2521,transf_1192_0,1423,1424,"LINESTRING (27.2349 41.5312, 27.2359 41.5322)"
2522,transf_1192_1,1424,1425,"LINESTRING (27.2359 41.5322, 27.2369 41.5332)"
2523,transf_1193_0,1426,1427,"LINESTRING (41.8286 37.5308, 41.8296 37.5318)"
2524,transf_1202_0,1436,1437,"LINESTRING (41.6877 40.6878, 41.6887 40.6888)"
2525,transf_1205_0,1440,1441,"LINESTRING (42.695 41.1209, 42.696 41.1219)"
2526,transf_1205_1,1441,1442,"LINESTRING (42.696 41.1219, 42.697 41.1229)"
2527,transf_1207_0,1444,1445,"LINESTRING (27.2211 38.9497, 27.2221 38.9507)"
2528,transf_1213_0,1451,1452,"LINESTRING (40.1299 38.745, 40.1309 38.746)"
2529,transf_1215_0,1454,1455,"LINESTRING (41.0332 38.8205, 41.0342 38.8215)"
2530,transf_1217_0,1457,1458,"LINESTRING (41.5984 40.7147, 41.5994 40.7157)"
2531,transf_1228_0,1469,1470,"LINESTRING (39.6555 40.1824, 39.6565 40.1834)"
2532,transf_1232_0,1474,1475,"LINESTRING (33.5386 36.154, 33.5396 36.155)"
2533,transf_1253_0,1496,1497,"LINESTRING (43.3264 38.5788, 43.3274 38.5798)"
2534,transf_1266_0,1510,1511,"LINESTRING (41.574 38.8703, 41.575 38.8713)"
2535,transf_1276_0,1521,1522,"LINESTRING (34.9412 39.9171, 34.9422 39.9181)"
2536,transf_1317_0,1563,1564,"LINESTRING (38.0249 37.1552, 38.0259 37.1562)"
2537,transf_1327_0,1574,1575,"LINESTRING (28.9987 37.8773, 28.9997 37.8783)"
2538,transf_1344_0,1592,1593,"LINESTRING (41.4416 41.4207, 41.4426 41.4217)"
2539,transf_1358_0,1607,1608,"LINESTRING (41.4982 40.3386, 41.4992 40.3396)"
2540,transf_1364_0,1614,1615,"LINESTRING (27.5202 37.8309, 27.5212 37.8319)"
2541,transf_1395_0,1646,1647,"LINESTRING (37.1429 36.8925, 37.1439 36.8935)"
2542,transf_1401_0,1653,1654,"LINESTRING (38.7554 38.8009, 38.7564 38.8019)"
2543,transf_1525_0,1778,1779,"LINESTRING (29.2845 41.1057, 29.2855 41.1067)"
2544,transf_1579_0,1833,1834,"LINESTRING (41.0547 40.5412, 41.0557 40.5422)"
