Bus,busmap
18,TR0 0
1800,TR0 39
1803,TR0 30
1806,TR0 2
1809,TR0 14
1810,TR0 25
1811,TR0 39
1812,TR0 30
1815,TR0 34
1817,TR0 25
182,TR0 0
1820,TR0 39
1821,TR0 14
1822,TR0 27
1823,TR0 0
1826,TR0 5
1827,TR0 1
1829,TR0 38
1831,TR0 48
1832,TR0 22
1834,TR0 1
1843,TR0 15
1844,TR0 44
1846,TR0 0
1847,TR0 34
1848,TR0 18
1849,TR0 0
185,TR0 24
1859,TR0 24
1869,TR0 16
187,TR0 39
1871,TR0 34
1875,TR0 47
1876,TR0 1
1878,TR0 6
1881,TR0 40
1882,TR0 31
1890,TR0 19
1891,TR0 10
190,TR0 45
1900,TR0 10
1901,TR0 47
1902,TR0 4
1906,TR0 12
1908,TR0 32
1916,TR0 18
1917,TR0 2
193,TR0 7
1930,TR0 32
1931,TR0 11
194,TR0 45
1941,TR0 46
195,TR0 45
1950,TR0 18
1955,TR0 24
1958,TR0 12
196,TR0 45
1960,TR0 5
1961,TR0 48
198,TR0 21
2,TR0 0
20,TR0 16
201,TR0 12
202,TR0 18
203,TR0 48
204,TR0 18
206,TR0 48
209,TR0 11
21,TR0 5
210,TR0 11
211,TR0 6
212,TR0 12
213,TR0 12
214,TR0 2
215,TR0 46
218,TR0 7
221,TR0 6
226,TR0 41
227,TR0 24
231,TR0 5
232,TR0 2
234,TR0 41
235,TR0 31
239,TR0 41
240,TR0 41
242,TR0 45
244,TR0 24
246,TR0 42
249,TR0 2
25,TR0 0
250,TR0 7
253,TR0 24
255,TR0 24
256,TR0 0
258,TR0 0
259,TR0 0
26,TR0 41
260,TR0 0
261,TR0 32
263,TR0 15
265,TR0 32
266,TR0 0
269,TR0 7
27,TR0 24
271,TR0 6
274,TR0 17
276,TR0 31
277,TR0 36
278,TR0 27
280,TR0 17
282,TR0 33
283,TR0 15
284,TR0 15
286,TR0 17
287,TR0 47
289,TR0 46
292,TR0 13
294,TR0 25
296,TR0 43
297,TR0 16
298,TR0 16
30,TR0 7
300,TR0 19
302,TR0 7
303,TR0 40
304,TR0 40
305,TR0 18
306,TR0 32
31,TR0 10
310,TR0 15
311,TR0 15
312,TR0 15
313,TR0 8
315,TR0 28
316,TR0 15
318,TR0 3
320,TR0 3
323,TR0 3
325,TR0 8
327,TR0 38
329,TR0 46
331,TR0 46
332,TR0 46
334,TR0 46
336,TR0 46
337,TR0 15
338,TR0 15
34,TR0 18
340,TR0 13
342,TR0 13
343,TR0 41
344,TR0 4
345,TR0 47
347,TR0 2
348,TR0 40
35,TR0 18
350,TR0 40
351,TR0 40
353,TR0 40
354,TR0 40
355,TR0 21
357,TR0 21
358,TR0 15
359,TR0 15
36,TR0 18
360,TR0 15
362,TR0 10
363,TR0 10
364,TR0 10
365,TR0 16
366,TR0 30
367,TR0 41
368,TR0 41
369,TR0 12
370,TR0 12
371,TR0 28
373,TR0 28
375,TR0 28
376,TR0 28
377,TR0 28
379,TR0 3
380,TR0 29
381,TR0 3
383,TR0 42
384,TR0 42
386,TR0 42
389,TR0 27
39,TR0 48
390,TR0 17
391,TR0 8
392,TR0 47
393,TR0 47
395,TR0 14
396,TR0 34
397,TR0 33
398,TR0 31
400,TR0 31
401,TR0 8
402,TR0 38
403,TR0 8
404,TR0 8
405,TR0 8
406,TR0 8
407,TR0 8
408,TR0 8
409,TR0 8
41,TR0 48
410,TR0 38
411,TR0 38
412,TR0 5
413,TR0 5
414,TR0 5
415,TR0 16
416,TR0 16
418,TR0 16
419,TR0 16
420,TR0 16
421,TR0 16
422,TR0 5
423,TR0 5
425,TR0 34
426,TR0 14
428,TR0 33
429,TR0 8
430,TR0 0
432,TR0 0
433,TR0 15
435,TR0 0
438,TR0 24
44,TR0 12
440,TR0 7
442,TR0 20
444,TR0 20
445,TR0 20
446,TR0 45
448,TR0 10
450,TR0 25
452,TR0 40
453,TR0 18
454,TR0 40
455,TR0 18
456,TR0 18
457,TR0 18
458,TR0 18
459,TR0 18
461,TR0 17
462,TR0 17
463,TR0 26
464,TR0 43
465,TR0 26
466,TR0 1
467,TR0 24
468,TR0 24
469,TR0 24
47,TR0 42
471,TR0 48
472,TR0 48
473,TR0 12
474,TR0 12
475,TR0 12
476,TR0 12
477,TR0 12
478,TR0 12
479,TR0 7
48,TR0 22
480,TR0 21
482,TR0 2
483,TR0 11
485,TR0 11
486,TR0 11
487,TR0 26
489,TR0 26
491,TR0 6
492,TR0 32
493,TR0 23
494,TR0 40
495,TR0 28
496,TR0 28
497,TR0 28
498,TR0 28
499,TR0 28
5,TR0 20
500,TR0 8
501,TR0 8
502,TR0 19
503,TR0 19
505,TR0 25
