,id,Type,Region,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.power,tags.source,name,tags.alt_name,other_tags,geometry,Country
31268,11106949985,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.height:hub"": ""80"", ""tags.rotor:diameter"": ""108"" }",POINT (26.354829899999825 39.998297299999905),TR
31269,11106949986,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.height:hub"": ""80"", ""tags.rotor:diameter"": ""108"" }",POINT (26.347829899999823 39.994068399999904),TR
31270,11106949987,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.height:hub"": ""80"", ""tags.rotor:diameter"": ""108"" }",POINT (26.341667999999824 39.99372209999991),TR
31271,11106949988,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.height:hub"": ""80"", ""tags.rotor:diameter"": ""108"" }",POINT (26.364100199999825 40.007510099999905),TR
31272,11106949989,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.height:hub"": ""80"", ""tags.rotor:diameter"": ""108"" }",POINT (26.369046099999824 40.00984319999991),TR
31273,11106949990,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.height:hub"": ""80"", ""tags.rotor:diameter"": ""108"" }",POINT (26.375546799999825 40.011138699999904),TR
31274,11106949991,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.height:hub"": ""80"", ""tags.rotor:diameter"": ""108"" }",POINT (26.371989199999824 40.019670599999905),TR
31275,11106951367,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.height:hub"": ""80"", ""tags.rotor:diameter"": ""108"" }",POINT (26.373943399999835 40.02713849999993),TR
31276,11106951368,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.height:hub"": ""80"", ""tags.rotor:diameter"": ""108"" }",POINT (26.374715799999834 40.03056769999993),TR
31277,11106951369,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.height:hub"": ""80"", ""tags.rotor:diameter"": ""108"" }",POINT (26.370400599999833 40.02907449999993),TR
31278,11106951384,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.height:hub"": ""80"", ""tags.rotor:diameter"": ""108"" }",POINT (26.36060189999984 40.02431029999993),TR
31279,11106951385,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.height:hub"": ""80"", ""tags.rotor:diameter"": ""108"" }",POINT (26.36441329999984 40.02551769999993),TR
31280,11106951386,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.height:hub"": ""80"", ""tags.rotor:diameter"": ""108"" }",POINT (26.36128529999984 40.02726979999993),TR
31281,11106951387,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.height:hub"": ""80"", ""tags.rotor:diameter"": ""108"" }",POINT (26.35775219999984 40.02784889999993),TR
31282,11109013555,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.frequency"": ""50"", ""tags.manufacturer"": ""Enercon"", ""tags.manufacturer:type"": ""E-138"", ""tags.height:hub"": ""111"", ""tags.rotor:diameter"": ""138"" }",POINT (26.9780229000001 40.753655),TR
31284,11109036511,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.frequency"": ""50"", ""tags.manufacturer"": ""Enercon"", ""tags.manufacturer:type"": ""E-138"", ""tags.height:hub"": ""111"", ""tags.rotor:diameter"": ""138"" }",POINT (27.023843800000087 40.73942449999998),TR
31285,11109036512,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.frequency"": ""50"", ""tags.manufacturer"": ""Enercon"", ""tags.manufacturer:type"": ""E-138"", ""tags.height:hub"": ""111"", ""tags.rotor:diameter"": ""138"" }",POINT (27.018494100000087 40.73925069999998),TR
31286,11109051079,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"", ""tags.manufacturer:type"": ""E-138"" }",POINT (36.098364400000094 36.449013699999966),TR
31287,11109051080,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"", ""tags.manufacturer:type"": ""E-138"" }",POINT (36.09079430000009 36.44181179999997),TR
